            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              1G24_A               0.300              -0.440              -0.427               0.013                 210
              1G6T_A               0.000              -0.577              -0.577               0.000                 427
              1G8O_A               0.200              -0.416              -0.409               0.007                 287
              1GA8_A               0.500              -0.529              -0.490               0.039                 271
              1GAL_A               0.100              -0.470              -0.470               0.000                 581
              1GCU_A              -0.200              -0.395              -0.368               0.026                 292
              1GOG_A               0.100              -0.271              -0.270               0.001                 639
              1GP5_A               0.300              -0.434              -0.418               0.016                 346
              1GQ8_A              -0.500              -0.480              -0.448               0.032                 318
              1H19_A               0.000              -0.595              -0.595               0.000                 610
              1H3I_A               0.300              -0.225              -0.195               0.029                 293
              1HKA_A               0.100              -0.435              -0.434               0.001                 158
              1HPL_A              -0.100              -0.549              -0.548               0.001                 449
              1HPM_A               0.100              -0.553              -0.547               0.006                 378
              1HQC_A               0.200              -0.323              -0.307               0.016                 314
              1I1E_A              -0.300              -0.314              -0.260               0.054                1287
              1I1I_P              -0.100              -0.387              -0.386               0.000                 665
              1I9A_A               0.200              -0.514              -0.495               0.019                 175
              1IDJ_A               0.000              -0.503              -0.503               0.000                 359
              1IG8_A              -0.100              -0.566              -0.559               0.007                 469
              1IM5_A              -0.100              -0.515              -0.511               0.005                 179
              1INP_A               0.500              -0.428              -0.403               0.025                 400
              1IU4_A              -0.200              -0.280              -0.269               0.010                 331
              1J00_A               0.200              -0.391              -0.375               0.016                 176
              1J09_A               0.300              -0.507              -0.479               0.028                 468
              1JH6_A               0.300              -0.446              -0.416               0.030                 181
              1JMS_A               0.100              -0.492              -0.491               0.001                 360
              1JOA_A               0.500              -0.471              -0.443               0.028                 446
              1JS4_A               0.000              -0.550              -0.550               0.000                 605
              1K30_A               0.300              -0.441              -0.417               0.024                 363
              1KL7_A               0.100              -0.657              -0.653               0.004                 503
              1KNP_A              -0.100              -0.554              -0.544               0.010                 529
              1L1D_A              -0.100              -0.547              -0.546               0.001                 142
              1L1L_A               0.000              -0.455              -0.455               0.000                 717
              1L6P_A              -0.800              -0.386              -0.265               0.120                 121
              1L7N_A               0.300              -0.527              -0.506               0.020                 207
              1L7Q_A               0.000              -0.224              -0.224               0.000                 571
              1L8T_A               0.300              -0.546              -0.537               0.009                 263
              1L9X_A               0.200              -0.617              -0.577               0.040                 288
              1LBA_A              -0.100              -0.555              -0.553               0.002                 146
              1LDM_A               0.000              -0.481              -0.481               0.000                 329
              1LJL_A               0.300              -0.548              -0.532               0.015                 130
              1LVH_A               0.200              -0.611              -0.594               0.017                 220
              1M53_A               0.100              -0.577              -0.576               0.001                 556
              1MBB_A               0.000              -0.604              -0.604               0.000                 340
              1MJ9_A               0.200              -0.556              -0.529               0.028                 273
              1MLA_A               0.100              -0.528              -0.525               0.003                 305
              1MRQ_A              -0.100              -0.462              -0.462               0.000                 323
              1MUD_A              -0.100              -0.436              -0.429               0.007                 225
              1MUG_A               0.300              -0.489              -0.463               0.026                 165
              1NDH_A               0.100              -0.407              -0.405               0.002                 270
              1NDI_A               0.200              -0.503              -0.498               0.004                 596
              1NLU_A               0.100              -0.544              -0.541               0.003                 368
              1O8A_A               0.200              -0.437              -0.429               0.009                 574
              1O98_A               0.100              -0.631              -0.630               0.001                 509
              1OG1_A               0.500              -0.583              -0.462               0.121                 223
              1OGO_X              -2.200               0.131              -0.086               0.045                 572
              1OJ4_A              -0.100              -0.629              -0.625               0.004                 277
              1ONR_A               0.100              -0.728              -0.722               0.006                 316
              1OPM_A              -0.400              -0.401              -0.364               0.037                 310
              1OXA_A              -0.400              -0.310              -0.276               0.034                 403
              1OYG_A               0.200              -0.474              -0.455               0.019                 440
              1P1X_A               0.000              -0.537              -0.537               0.000                 250
              1P3D_A               0.100              -0.567              -0.563               0.004                 449
              1P5D_X               0.200              -0.604              -0.581               0.023                 454
              1PA9_A               0.000              -0.510              -0.510               0.000                 279
              1PII_A              -0.100              -0.532              -0.523               0.009                 452
              1PKN_A              -0.100              -0.467              -0.462               0.006                 514
              1PMI_A               0.100              -0.571              -0.567               0.003                 440
              1PP4_A               0.100              -0.423              -0.411               0.013                 233
              1PS9_A               0.000              -0.566              -0.566               0.000                 671
              1PTD_A               0.200              -0.576              -0.560               0.016                 296
              1PUD_A              -0.100              -0.450              -0.447               0.002                 372
              1PYL_A              -0.400              -0.316              -0.243               0.073                  95
              1Q91_A               0.700              -0.548              -0.436               0.112                 194
              1QAM_A               0.200              -0.372              -0.362               0.010                 235
              1QAZ_A               0.700              -0.113              -0.019               0.094                 351
              1QBA_A              -0.200              -0.466              -0.440               0.026                 858
              1QFM_A               0.100              -0.448              -0.447               0.001                 705
              1QGX_A               0.100              -0.520              -0.515               0.005                 354
              1QJE_A              -2.400               0.287              -0.279               0.008                 327
              1QK2_A               0.200              -0.519              -0.504               0.016                 363
              1QWN_A               0.000              -0.496              -0.496               0.000                1014
              1R1J_A               0.100              -0.381              -0.378               0.002                 696
              1R44_A               0.200              -0.600              -0.563               0.037                 202
              1R4Z_A               0.100              -0.471              -0.467               0.004                 179
              1RBN_A               0.000              -0.476              -0.476               0.000                 124
              1RDD_A              -0.300              -0.416              -0.360               0.056                 155
              1RU4_A               0.400              -0.341              -0.319               0.022                 400
              1S3I_A               0.100              -0.455              -0.451               0.004                 307
              1S95_A              -0.200              -0.565              -0.553               0.011                 324
              1SCA_A               0.000              -0.620              -0.620               0.000                 274
              1SLL_A              -0.400              -0.169              -0.134               0.035                 679
              1SML_A               0.100              -0.338              -0.335               0.003                 266
              1SNZ_A              -0.200              -0.365              -0.359               0.006                 344
              1TAH_B               0.500              -0.556              -0.499               0.057                 318
              1TLP_E              -0.200              -0.537              -0.530               0.007                 316
              1U3F_A               0.200              -0.481              -0.463               0.018                 164
              1U5U_A               1.500              -0.291              -0.102               0.188                 366
              1UAS_A               0.200              -0.557              -0.548               0.009                 362
              1UN1_A              -0.300              -0.466              -0.450               0.016                 267
              1VID_A               0.500              -0.494              -0.434               0.060                 213
              1VLB_A              -0.300              -0.270              -0.241               0.029                 907
              1VNC_A               0.000              -0.245              -0.245               0.000                 576
              1VQ1_A               0.400              -0.603              -0.579               0.024                 263
              1W0H_A               0.000              -0.529              -0.529               0.000                 194
              1XQW_A               0.100              -0.443              -0.440               0.003                 290
              1Y9M_A               0.200              -0.567              -0.555               0.012                 517
              1YON_A               0.800              -0.561              -0.454               0.107                 292
              1YSC_A               0.300              -0.595              -0.572               0.024                 421
              1ZE1_A              -0.200              -0.423              -0.416               0.007                 308
              1ZIO_A              -0.200              -0.541              -0.527               0.014                 217
              206L_A               0.100              -0.389              -0.382               0.007                 162
              2A0N_A               0.400              -0.556              -0.482               0.074                 251
              2ABK_A               0.000              -0.459              -0.459               0.000                 211
              2ACY_A              -0.100              -0.296              -0.292               0.003                  98
              2AYH_A               0.100              -0.394              -0.388               0.006                 214
              2CPO_A              -4.100               0.211              -0.116               0.095                 298
              2CPU_A              -0.100              -0.506              -0.504               0.002                 495
              2DLN_A               0.100              -0.652              -0.649               0.003                 306
              2EBN_A               0.100              -0.342              -0.337               0.005                 285
              2ENG_A               0.100              -0.450              -0.449               0.001                 205
              2F61_A              -0.100              -0.479              -0.471               0.009                 497
              2F9R_A               1.200              -0.439              -0.237               0.202                 285
              2NLR_A              -0.100              -0.288              -0.288               0.000                 222
              2NMT_A               0.000              -0.428              -0.428               0.000                 422
              2PEC_A               0.200              -0.428              -0.421               0.007                 352
              2PIA_A               0.000              -0.534              -0.534               0.000                 321
              2PTH_A               0.200              -0.400              -0.388               0.012                 193
              2SQC_A              -0.100              -0.479              -0.474               0.005                 623
              2THI_A              -1.900               0.158              -0.106               0.052                 362
              2TPS_A              -0.200              -0.540              -0.526               0.014                 226
              5EAT_A              -0.300              -0.213              -0.197               0.016                 532
              7ATJ_A               0.200              -0.560              -0.544               0.017                 305
